var,coef,ci_lo,ci_hi,pvalue,efeito_pct,modelo
flag_rating_missing[T.True],-2.880115311922093,-12.059211852825824,6.298981228981637,0.5381725333016804,-94.38717098000718,apartamento
is_professional[T.True],-0.5707860195398989,-1.5911462580345113,0.4495742189547133,0.2725469630941723,-43.491890069299124,apartamento
host_multi_listing[T.True],-0.37500993393324006,-0.9495541735936486,0.1995343057271684,0.20051586262919416,-31.271754866092817,apartamento
can_instant_book[T.True],0.6413483477317116,0.08938211690250353,1.1933145785609196,0.02281704164340455,89.90397197124528,apartamento
bairro_Centro[T.True],-0.0728706641954589,-0.7827461280073631,0.6370047996164452,0.8403762401708648,-7.0278931527553326,apartamento
bairro_Morretes[T.True],0.17326161904430118,-0.7192585455973395,1.0657817836859418,0.7032931835863665,18.917717578748217,apartamento
bairro_Tabuleiro_dos_Oliveiras[T.True],1.5081162976472384,-0.17276952510745902,3.189002120401936,0.07859758501630794,351.82118070039223,apartamento
bairro_Casa_Branca[T.True],0.09514803227438469,-1.8723094485434235,2.0626055130921928,0.924403379942067,9.982165217678608,apartamento
bairro_Ilhota[T.True],-0.6626392428774238,-3.7341295825742797,2.408851096819432,0.6720920300668414,-48.45109632035318,apartamento
bairro_Outros[T.True],-2.3774617699378253,-4.817606691647573,0.06268315177192241,0.05616914747097032,-90.72142094454205,apartamento
number_of_bedrooms,-0.36769311097074314,-0.8215572088973486,0.0861709869558624,0.11218767943785657,-30.767038254581347,apartamento
number_of_guests,0.2975480803648289,0.1284071157053897,0.46668904502426806,0.0005814693126868488,34.65531165614782,apartamento
n_amenities,0.004207217679413129,-0.020259578011016067,0.028674013369842325,0.7358276126085577,0.4216080444549253,apartamento
log_host_reviews,0.3325523280593284,0.1421639538725452,0.5229407022461116,0.0006357278708078218,39.45228699511667,apartamento
log_reviews,0.31450663746503754,-0.008142839403946833,0.6371561143340219,0.05605563043348318,36.95834430874389,apartamento
star_rating,-0.4466437160620533,-2.2573961560778124,1.364108723953706,0.6284267545900901,-36.022819190695756,apartamento
Intercept,9.563135408168838,-16.170853566794783,35.29712438313246,0.4580704285223471,1422939.4419584754,casa
ar_condicionado[T.True],9.563135408168812,-16.17085356679462,35.29712438313224,0.45807042852234503,1422939.4419584374,casa
tv[T.True],4.658225432721547,-3.014247737291729,12.330698602734824,0.22775879031853852,10444.879005221033,casa
cozinha[T.True],-3.907645890079071,-15.142819006479158,7.327527226321017,0.48721233556424975,-97.99122658217854,casa
vista_mar[T.True],1.7963182909715751,-3.889706636101611,7.482343218044761,0.5278096289763392,502.74153738816034,casa
elevador[T.True],1.948027054054061e-14,-2.1336180154716563e-14,6.029672123579778e-14,0.34155770959354775,1.94802705405408e-12,casa
piscina[T.True],-0.8727851278713774,-4.516802447433836,2.7712321916910816,0.6318590717221757,-58.221366100594565,casa
churrasqueira[T.True],0.05818956788473445,-3.2433742230336517,3.3597533588031205,0.9718394272790682,5.991590268259895,casa
academia[T.True],10.4779695848506,-7.245077590152457,28.20101675985366,0.23999528487315194,3552320.5381612317,casa
varanda[T.True],0.0033419654164641988,-3.1349170937251123,3.141601024558041,0.998298146810734,0.3347556009007439,casa
is_superhost[T.True],-0.33039976537582094,-3.000381412291953,2.3395818815403113,0.8043112936608031,-28.136360994576236,casa
flag_rating_missing[T.True],-12.863166220608532,-65.61521377074205,39.888881329524985,0.6257262016087024,-99.9997408221454,casa
is_professional[T.True],1.4999738311304525,-2.9692450384565188,5.969192700717423,0.5025128608193544,348.1571791135969,casa
host_multi_listing[T.True],0.7577761808047174,-2.7284742046602855,4.244026566269721,0.6636339698585526,113.35263641611921,casa
can_instant_book[T.True],0.29643154400638744,-2.6231222784988657,3.215985366511641,0.8388862530056482,34.50504800785036,casa
bairro_Centro[T.True],-0.7880459598340385,-4.9427830899716705,3.3666911703035938,0.7042423504751204,-54.52675067422563,casa
bairro_Morretes[T.True],-0.0595914078680259,-4.003287370141213,3.8841045544051616,0.97585534720872,-5.785059021381707,casa
bairro_Tabuleiro_dos_Oliveiras[T.True],-0.40663799521331523,-8.180264541636932,7.3669885512103015,0.9165602640370605,-33.411479969460515,casa
bairro_Casa_Branca[T.True],-5.56962969609597,-12.959877766361036,1.8206183741690953,0.13602916395420067,-99.61881082703393,casa
bairro_Ilhota[T.True],-1.5374519941503972,-6.4797025003264554,3.4047985120256605,0.5341173355157771,-78.5071957764262,casa
bairro_Outros[T.True],-1.1451973727127958,-4.6413938458960695,2.350999100470478,0.5127896258691874,-68.1838884729556,casa
number_of_bedrooms,-1.2370230105441737,-2.9742042042683186,0.5001581831799711,0.15842380076087,-70.97530046930933,casa
number_of_guests,0.4638051190036362,-0.16072321041992965,1.088333448427202,0.14169413547272983,59.01130574259792,casa
n_amenities,-0.03027995739298086,-0.1673881607612698,0.10682824597530807,0.6585899778755603,-2.982611182675423,casa
log_host_reviews,-0.06807520568401157,-2.0460160692141747,1.9098656578461515,0.9450421776115274,-6.5809785478773515,casa
log_reviews,0.8831457745893436,-1.4608865581656607,3.227178107344348,0.45190448509575054,141.84957949781244,casa
star_rating,-3.2213859142213344,-13.987019533541195,7.544247705098526,0.5497486046073886,-96.01002776685209,casa
